url,label,description
"https://www.fao.org/soils-portal/soil-survey/soil-maps-and-databases/en/","FAO Soils Portal","Links to global national and FAO legacy maps (scans) also soil profiles and reports soil degradation management biodiversity."
"http://54.229.242.119/GloSIS/","GloSIS Global (Beta)","From the FAO. Data Hub for Global Soil Information System (GloSIS) country-driven global datasets. Includes Global Soil Organic Carbon (GSOC) map C sequestration potential Harmonized World Soil Database (HWSD) derivatives (soil properties soil quality indicators digital Soil Map of the World (FAO pre-HWSD0."
"https://esdac.jrc.ec.europa.eu/resource-type/national-soil-maps-eudasm","European digital archive on soil maps (EuDASM)","Scans of legacy maps over the whole world downloadable (and on CD-ROM) and with metadata. To be usable in GIS these must be georeferenced the linework digitized and a linked attribute database created. Reference: Panagos P. Jones A. Bosco C. Senthil Kumar P.S. (2011): European digital archive on soil maps (EuDASM): preserving important soil data for public free access. International Journal of Digital Earth 4(5): 434-443. DOI:10.1080/17538947.2011.596580  global"
"https://www.worlddatasystem.org/","International Council for Science (ICSU) World Data System","Collects datasets from World Data Centres and others. ISRIC is a contributor. Querying for Soil map returns > 2600 datasets."
"https://www.geoportal.org/","GEOSS (Global Earth Observation System of Systems) portal","A data broker to find datasets. Search terms include soil properties soil moisture and temperature soil chemistry soil C. Can filter search by country/geography and data access conditions."
"https://idn.ceos.org","soil parameter data sets","from the Global Change Master Directory hosted by Goddard Space Flight Center (NASA). A very large catalogue (over 1000 links) of soil parameters (e.g. C CEC heat budget macrofauna...) with links to the actual data and metadata"
"https://daac.ornl.gov/cgi-bin/dataset_lister.pl?p=19","Soil Collections data sets","from the Distributed Active Archive Center for Biogeochemical Dynamics of the Oak Ridge National (USA) Laboratory intended for global modelling of biogeochemistry."
"https://soil-modeling.org/resources-links/data-portal","Data collections","from the https://soil-modeling.org/ International Soil Modeling Consortium (ISMC) .Collections relevant to modelling soil processes: hydrology soil physics pedogenesis... at scales from macropore to continental."
"https://iscn.fluxdata.org/data/access-data/","International Soil Carbon Network","data access from https://iscn.fluxdata.org/about-iscn/ ISCN a science-based network that facilitates data sharing assembles databases identifies gaps in data coverage and enables spatially explicit assessments of soil carbon in context of landscape climate land use and biotic variables"
"https://bolin.su.se/data/ncscd/","Northern Circumpolar Soil Carbon Database","(NCSCDv2) a spatial dataset created for the purpose of quantifying storage of organic carbon in soils of the northern circumpolar permafrost region from the Bolin Centre of Stockholm University. Includes downloadable points (to 3 m) grids and polygons of C stocks."
